"Name","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","task","epoch","train_loss","val_acc","val_auc","val_dice","val_dice_c0","val_dice_c1","val_dice_manual","val_iou","val_iou_c0","val_iou_c1","val_iou_manual","val_loss","val_sens","val_spec"
"fast-sweep-6","finished","2025-07-21T15:30:35.000Z","6233","","1","0.0002","32","0.5","0.2018263372477304","40","[256,256]","0.00014052845259556314","1.1677430562712092","multitask","34","","0.5008880994671403","0.5145783414939056","0.5963283651356879","0.5473840778479133","0.6452726524234623","0.5916135311126709","0.4265691284142443","0.3768264339529957","0.476311822875493","","1.5857455048637323","",""
"scarlet-sweep-5","finished","2025-07-21T14:03:25.000Z","5225","","1","0.0002","64","1","0.2013091702003841","40","[256,256]","0.0001248431396668711","0.8786514599735692","multitask","28","","0.47602131438721135","0.5136472549223878","0.6003085983922998","0.5593657701870813","0.6412514265975182","0.5891748070716858","0.4301100537109325","0.3882774396244359","0.4719426677974291","","2.397207690386323","",""
"pious-sweep-4","finished","2025-07-21T12:05:29.000Z","7068","","1","0.0002","64","2","0.23506715072801335","40","[256,256]","0.0001238842437866961","0.8881538010515783","multitask","38","","0.4689165186500888","0.4791124075424524","0.6123803169222554","0.5974860233553874","0.6272746104891234","0.575370192527771","0.4414831928234697","0.42601074449526594","0.4569556411516735","","2.0820665918489123","",""
"cosmic-sweep-3","finished","2025-07-21T10:44:31.000Z","4851","","1","0.0002","16","1","0.21308615935827363","40","[256,256]","0.00008864676031730595","1.0024724843141963","multitask","27","","0.46714031971580816","0.5001302218981143","0.5936527424165885","0.6117643450778452","0.5755411397553317","0.5188611149787903","0.4223597722964417","0.4406775916673526","0.4040419529255309","","1.7025751415408523","",""
"sweet-sweep-2","finished","2025-07-21T09:19:17.000Z","5108","","2","0.0002","16","1","0.19151481320782704","40","[256,256]","0.0001004867171097995","0.942904183492188","multitask","28","","0.5062166962699822","0.5332326283987916","0.6099045351665693","0.6202129759886391","0.5995960943444996","0.5451990962028503","0.4388292314716537","0.44949906412769136","0.42815939881561593","","1.572431710007771","",""
"smart-sweep-1","finished","2025-07-21T08:11:19.000Z","4038","","1","0.0002","16","1","0.2015227942607283","40","[256,256]","0.000020347940045966064","1.0697795776420476","multitask","22","","0.48134991119005327","0.4664548390457339","0.6060833120905005","0.629897266708881","0.5822693574721198","0.5328399538993835","0.4352248794434011","0.4597445515606023","0.4107052073262","","1.503565840780417","",""
"comic-sweep-11","finished","2025-07-21T04:52:01.000Z","5913","","2","0.0002","128","1","0.2385270702054052","40","[256,256,1]","0.0001319354703084166","1.19181530307103","multitask","32","","0.47957371225577267","0.523615741223044","0.4723220083617764","0.4104627766599598","0.534181240063593","0.5980455875396729","0.3113265053955353","0.2582278481012658","0.3644251626898048","","2.0878038965364123","",""
"ethereal-sweep-10","finished","2025-07-21T03:13:35.000Z","5900","","1","0.0002","128","1","0.21460455591709487","40","[256,256,1]","0.00008915062065888378","1.1563459272217331","multitask","32","","0.47957371225577267","0.523615741223044","0.4723220083617764","0.4104627766599598","0.534181240063593","0.5980455875396729","0.3113265053955353","0.2582278481012658","0.3644251626898048","","2.0878038965364123","",""
"jolly-sweep-9","finished","2025-07-21T01:35:03.000Z","5908","","2","0.0002","128","2","0.2194084993993161","40","[256,256,1]","0.00010968818695322994","1.1287797582190555","multitask","32","","0.47957371225577267","0.523615741223044","0.4723220083617764","0.4104627766599598","0.534181240063593","0.5980455875396729","0.3113265053955353","0.2582278481012658","0.3644251626898048","","2.0878038965364123","",""
"lively-sweep-8","finished","2025-07-21T00:10:17.000Z","5081","","2","0.0002","32","1","0.22842748587751505","40","[256,256,1]","0.00012190630025594124","1.186256316288762","multitask","27","","0.46181172291296624","0.5064850505260964","0.4552047904191617","0.39520958083832336","0.5152","0.5825479626655579","0.2966257076685538","0.2462686567164179","0.34698275862068967","","1.9317154282998448","",""
