"Name","val_accuracy","val_loss","val_auc","epoch","State","Created","Runtime","Sweep","ID","Group","Job Type","Hostname","batch_size","dropout","epochs","learning_rate","method","metric.goal","metric.name","optimizer","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.pretraineds","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.threshold.distribution","parameters.threshold.max","parameters.threshold.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","pretrained","program","rotation","run_cap","threshold","translation","zoom","arch","parameters.archs","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","weight_decay","train_loss","val_precision","val_recall"
"fallen-sweep-12","0.5885486018641811","0.17110227628161076","0.5531820644613334","5","finished","2025-07-10T16:15:05.000Z","500","5l1icxd5","pm5qe9vq","","","x870e","16","0.20837825864818368","20","0.0009214517986844258","","","","Adam","","","","","","","","","","","","","","","","","","","","","","","true","","0.13541687184241658","","0.5068812291938446","0.03436317765220218","0.031168112074267108","DenseNet169","","","","","0.0013428603162031138","0.1724994068779189","0","0"
"devout-sweep-11","0.5885486018641811","0.17313369632834524","0.5603574514197016","5","finished","2025-07-10T16:05:53.000Z","545","5l1icxd5","dcuv0c82","","","x870e","8","0.20283526149167375","20","0.0009315107257708892","","","","Adam","","","","","","","","","","","","","","","","","","","","","","","false","","0.033760258139342185","","0.5149226860705591","0.1202641441918886","0.13219316200104764","DenseNet169","","","","","0.004307351240597296","0.17327814911622852","0","0"
"woven-sweep-10","0.41145139813581894","0.16761471711042977","0.5430889308673432","5","finished","2025-07-10T15:57:57.000Z","473","5l1icxd5","1xktz95z","","","x870e","32","0.3905350337784777","20","0.0008006597322624739","","","","Adam","","","","","","","","","","","","","","","","","","","","","","","true","","0.1829737150287497","","0.3948921480505988","0.14485140372460967","0.0686518822766069","DenseNet121","","","","","0.003230849607295616","0.17082929483319698","0.41145139813581894","1"
"genial-sweep-9","0.41145139813581894","0.18552417032795607","0.5034302742755056","8","finished","2025-07-10T15:48:47.000Z","544","5l1icxd5","qun302hv","","","x870e","16","0.21910937164810929","20","0.000798567168733398","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.16728109824873888","","0.416725583823995","0.05561768453299363","0.06698255359363132","DenseNet169","","","","","0.006886213448340603","0.1789223581603816","0.4104979811574697","0.9870550161812298"
"smart-sweep-8","0.5872170439414115","0.17348977040897648","0.5453257479242631","7","finished","2025-07-10T15:40:51.000Z","470","5l1icxd5","awnkmpwg","","","x870e","32","0.3307792075650912","20","0.000995721451449912","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.10482513668664832","","0.5496259594567068","0.051146530778171266","0.025089995252104605","DenseNet121","","","","","0.006765274139702791","0.1756897450441218","0.4444444444444444","0.012944983818770227"
"deft-sweep-7","0.5952063914780293","0.18400025198226724","0.5826963346951926","9","finished","2025-07-10T15:32:05.000Z","522","5l1icxd5","o69dlfmd","","","x870e","16","0.21374696096359724","20","0.0005090354497602497","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.14609693175037983","","0.538187998879283","0.030050163363258588","0.13128384734025944","DenseNet169","","","","","0.003785184112015192","0.18187759675373755","0.5157232704402516","0.26537216828478966"
"olive-sweep-6","0.41145139813581894","0.16617811955122574","0.5046823060815065","15","finished","2025-07-10T15:21:50.000Z","608","5l1icxd5","7tlovu0s","","","x870e","16","0.30760319403029157","20","0.00015702218820385302","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.08464168764479184","","0.34365586680989385","0.007525489923813056","0.14577735934652453","DenseNet169","","","","","0.007077861095852888","0.1632618418856081","0.41145139813581894","1"
"feasible-sweep-5","0.5885486018641811","0.16763138822083454","0.5353534244168168","12","finished","2025-07-10T15:13:14.000Z","513","5l1icxd5","39vhj5tp","","","x870e","32","0.2025925717464862","20","0.0007260752896045526","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.007546351518073547","","0.5932817480636129","0.18975544683756737","0.18030422700644935","DenseNet121","","","","","0.007355321056024063","0.1684144870141306","0","0"
"grateful-sweep-4","0.41145139813581894","0.17553752584189744","0.5596801827527128","14","finished","2025-07-10T15:03:30.000Z","580","5l1icxd5","jxzcwh8b","","","x870e","16","0.14284898937926288","20","0.00042136638753261256","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.06707007135021817","","0.3207104614022284","0.043866235329473424","0.1927158563590597","DenseNet169","","","","","0.00370692095131054","0.17549584158787468","0.41145139813581894","1"
"youthful-sweep-3","0.5885486018641811","73.79127986670262","0.5338670942611548","6","finished","2025-07-10T14:54:50.000Z","512","5l1icxd5","9uop8847","","","x870e","8","0.1858183220197964","20","0.00033270565043479536","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","false","","0.025107209116106824","","0.3592472005190719","0.11514553003029238","0.14846828552209607","DenseNet121","","","","","0.004069366072177191","0.17593752744508223","0","0"
"serene-sweep-2","0.41145139813581894","0.1818121073390563","0.5743860651056539","15","finished","2025-07-10T14:45:49.000Z","537","5l1icxd5","kd8mcrqq","","","x870e","32","0.4894843447494685","20","0.0004897042266088134","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.06382351370693717","","0.35228133139466794","0.0021161932142968578","0.07107269427527814","DenseNet169","","","","","0.00933852884626643","0.1786621907204366","0.41145139813581894","1"
"bright-sweep-1","0.5885486018641811","0.16771354630124607","0.5611555301732344","13","finished","2025-07-10T14:25:42.000Z","1201","5l1icxd5","acakrr1x","","","x870e","16","0.20829867034824745","20","0.0007149282631243102","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.03832237533370231","","0.6923205264750971","0.050836150290715934","0.16854631324292524","DenseNet169","","","","","0.0017872213220803555","0.16503676538492582","0","0"
