task,epochs,l2_reg,dropout,batch_size,input_shape,learning_rate,best_epoch,best_val_loss,dice_coefficient,epoch,graph,iou_metric,loss,test_dice,test_iou,test_loss,val_dice_coefficient,val_iou_metric,val_loss,run_id,sweep,lr_multiplier,base_learning_rate,effective_learning_rate
segmentation,40,0.0004461929092425354,0.3911920628264166,8,"[256, 256, 1]",0.0006369318173292866,29,1.1537482738494873,0.5431922078132629,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3751542270183563,1.1578320264816284,0.5469701886177063,0.378500759601593,1.1514956951141355,0.5375693440437317,0.3693907856941223,1.1543127298355105,hyijc45h,original,,,0.0006369318173292866
segmentation,40,0.0005630957767219415,0.3217634539559313,8,"[256, 256, 1]",0.0069262162056493645,15,1.1582013368606567,0.5393320322036743,25,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3716723322868347,1.1636372804641724,0.5475424528121948,0.3790619671344757,1.1551014184951782,0.5454577803611755,0.3769712448120117,1.1593637466430664,o836nns2,original,,,0.0069262162056493645
segmentation,40,0.0006461351127519893,0.2559995297649107,4,"[256, 256, 1]",0.0007770460959568337,39,1.1614251136779783,0.5365328192710876,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37124502658843994,1.1649237871170044,0.542921781539917,0.37728601694107056,1.1578081846237185,0.5400872826576233,0.37447184324264526,1.1614251136779783,3uof4de2,original,,,0.0007770460959568337
segmentation,40,0.0009139707237348044,0.34931662657025453,16,"[256, 256, 1]",0.001005364244274008,18,1.155190110206604,0.5441249012947083,28,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37473317980766296,1.1580417156219482,0.5508472919464111,0.38105472922325134,1.1510308980941772,0.5340586304664612,0.3658113181591034,1.1560344696044922,p2on9lmd,original,,,0.001005364244274008
segmentation,40,0.0005873654661939355,0.4852896839892247,4,"[256, 256, 1]",0.0052220780843913,12,1.165413498878479,0.5358454585075378,22,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37031930685043335,1.16871440410614,0.539700448513031,0.3741315007209778,1.1624270677566528,0.5290489196777344,0.36382800340652466,1.1667498350143433,4lhuq1zc,original,,,0.0052220780843913
segmentation,40,0.000858262193120989,0.312766672996983,16,"[256, 256, 1]",0.008723656726964702,10,1.1567283868789673,0.5439403653144836,20,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37489092350006104,1.1604998111724854,0.5497444868087769,0.3799987733364105,1.1521965265274048,0.5287056565284729,0.36078426241874695,1.1589288711547852,ioapzihs,original,,,0.008723656726964702
segmentation,40,0.0007982544887217361,0.3409601514220171,4,"[256, 256, 1]",0.006306141577119686,7,1.1657332181930542,0.5329387187957764,17,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3682398796081543,1.1716941595077517,0.5422133803367615,0.37665536999702454,1.1600557565689087,0.5295781493186951,0.3644275367259979,1.166859745979309,h3fa69ri,original,,,0.006306141577119686
segmentation,40,0.00031401555664346836,0.1567688916500541,4,"[256, 256, 1]",0.00905466272863589,33,1.1836297512054443,0.5259882211685181,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.361426442861557,1.1872953176498413,0.5253106951713562,0.3604660928249359,1.1791590452194214,0.5209293961524963,0.35648056864738464,1.1844544410705566,pp6afz7o,original,,,0.00905466272863589
segmentation,40,0.0004197691957861002,0.2518325366785298,16,"[256, 256, 1]",0.003990669460657273,12,1.153287053108215,0.5436326265335083,22,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3743874728679657,1.1600230932235718,0.5514087080955505,0.3815973997116089,1.1501470804214478,0.5415010452270508,0.3728539645671845,1.1552395820617676,dp8dzkxr,original,,,0.003990669460657273
segmentation,40,0.0002374728061145262,0.1296603900805768,16,"[256, 256, 1]",0.0014319904224755395,22,1.1514561176300049,0.5443482995033264,32,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3753490447998047,1.1561529636383057,0.5509182214736938,0.3811218440532684,1.1482477188110352,0.5324057936668396,0.36424198746681213,1.1537154912948608,1dyqgngf,original,,,0.0014319904224755395
