"Name","val_dice_coefficient","val_iou_metric","val_loss","State","Created","Runtime","Sweep","base_learning_rate","batch_size","dropout","epochs","input_shape","l2_reg","lr_multiplier","method","metric.goal","metric.name","parameters.base_learning_rate","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.input_shape","parameters.l2_reg.distribution","parameters.l2_reg.max","parameters.l2_reg.min","parameters.lr_multiplier.distribution","parameters.lr_multiplier.max","parameters.lr_multiplier.min","parameters.task","program","task","best_epoch","best_val_loss","dice_coefficient","epoch","iou_metric","loss","test_dice","test_iou","test_loss"
"valiant-sweep-245","0.5487192869186401","0.3786267042160034","1.1411821842193604","finished","2025-07-06T03:42:15.000Z","1065","l6eaiduh","0.0002","32","0.16001252608983155","40","[256,256,1]","0.00014946792276806852","1.1844445685802016","","","","","","","","","","","","","","","","","","","segmentation","35","1.140700101852417","0.5526412129402161","39","0.382365882396698","1.1453677415847778","0.5510756969451904","0.3807612955570221","1.1384941339492798"
"visionary-sweep-244","0.5565870404243469","0.38608741760253906","1.10072124004364","finished","2025-07-06T03:24:55.000Z","1035","l6eaiduh","0.0002","32","0.16757260710894356","40","[256,256,1]","0.000011880999304252796","0.9732749143829116","","","","","","","","","","","","","","","","","","","segmentation","27","1.0942047834396362","0.573927104473114","37","0.4030530452728271","1.0982705354690552","0.575232982635498","0.40427228808403015","1.0907766819000244"
"frosty-sweep-243","0.5397045016288757","0.36980924010276794","1.1441835165023804","finished","2025-07-06T03:06:24.000Z","1104","l6eaiduh","0.0002","64","0.24233922473325845","40","[256,256,1]","0.00012069297292241891","0.8249592403502662","","","","","","","","","","","","","","","","","","","segmentation","38","1.1388732194900513","0.5545381307601929","39","0.38397231698036194","1.1440755128860474","0.5415160655975342","0.3715079128742218","1.1427327394485474"
"ethereal-sweep-242","0.5457859039306641","0.3755009770393371","1.1492931842803955","finished","2025-07-06T02:47:18.000Z","1143","l6eaiduh","0.0002","128","0.23228903784066665","40","[256,256,1]","0.00013634476292956297","0.9894948982979008","","","","","","","","","","","","","","","","","","","segmentation","39","1.1492931842803955","0.5488781929016113","39","0.3783695697784424","1.1511707305908203","0.548569917678833","0.37796419858932495","1.1456354856491089"
"zesty-sweep-241","0.5646342635154724","0.3950325548648834","1.0992993116378784","finished","2025-07-06T02:29:31.000Z","1059","l6eaiduh","0.0002","16","0.19809517993781245","40","[256,256,1]","0.000049461804890798014","0.9170694967106796","","","","","","","","","","","","","","","","","","","segmentation","39","1.0992993116378784","0.5711145401000977","39","0.4008955657482147","1.1079717874526978","0.5720297694206238","0.4015116393566131","1.0968109369277954"
"bumbling-sweep-240","0.5579863786697388","0.3885400295257568","1.1051145792007446","finished","2025-07-06T02:08:57.000Z","1229","l6eaiduh","0.0002","16","0.1977620268137655","40","[256,256,1]","0.00010284526804083808","1.066484771473451","","","","","","","","","","","","","","","","","","","segmentation","36","1.104817271232605","0.5672066807746887","39","0.3970355987548828","1.1138139963150024","0.5649351477622986","0.3945453464984894","1.1059625148773191"
"silver-sweep-239","0.5493541359901428","0.3788830637931824","1.1429109573364258","finished","2025-07-06T01:46:50.000Z","1321","l6eaiduh","0.0002","128","0.24459493546788708","40","[256,256,1]","0.00005690937324600074","0.8751262960621667","","","","","","","","","","","","","","","","","","","segmentation","39","1.1429109573364258","0.5529359579086304","39","0.3823111355304718","1.145968675613403","0.5519021153450012","0.3811386525630951","1.13959538936615"
"devout-sweep-238","0.5582519173622131","0.3876793384552002","1.105699896812439","finished","2025-07-06T01:28:07.000Z","1119","l6eaiduh","0.0002","32","0.164761511267998","40","[256,256,1]","0.00007767752565204901","0.845405280998639","","","","","","","","","","","","","","","","","","","segmentation","34","1.1012964248657229","0.5699554681777954","39","0.3993598520755768","1.110504984855652","0.5589026808738708","0.3882637023925781","1.1052110195159912"
"ancient-sweep-237","0.5413445234298706","0.37163111567497253","1.144604206085205","finished","2025-07-06T01:07:33.000Z","1229","l6eaiduh","0.0002","32","0.2248733354248769","40","[256,256,1]","0.00014668036702859862","1.1622595505284987","","","","","","","","","","","","","","","","","","","segmentation","34","1.141466498374939","0.5511971712112427","39","0.3811900317668915","1.1472264528274536","0.5436928272247314","0.3737354278564453","1.142244577407837"
"major-sweep-236","0.5656551718711853","0.39488017559051514","1.1017242670059204","finished","2025-07-06T00:47:19.000Z","1211","l6eaiduh","0.0002","32","0.1949493899534133","40","[256,256,1]","0.000030774138510825924","0.8005552407702404","","","","","","","","","","","","","","","","","","","segmentation","36","1.1006500720977783","0.5692660212516785","39","0.3985104560852051","1.109888792037964","0.567488431930542","0.39662113785743713","1.0991640090942385"
"balmy-sweep-235","0.5487855076789856","0.37868961691856384","1.1408112049102783","finished","2025-07-06T00:21:43.000Z","1531","l6eaiduh","0.0002","32","0.19324263840982064","40","[256,256,1]","0.00013027376338084045","0.9574038595034704","","","","","","","","","","","","","","","","","","","segmentation","35","1.1402807235717771","0.5529541969299316","39","0.3826777935028076","1.1451635360717771","0.5511355400085449","0.38081803917884827","1.1381595134735107"
"wise-sweep-234","0.5482208728790283","0.37910449504852295","1.110327959060669","finished","2025-07-05T23:59:26.000Z","1331","l6eaiduh","0.0002","16","0.15099923317014471","40","[256,256,1]","0.00013018808381730888","0.9915737298685368","","","","","","","","","","","","","","","","","","","segmentation","34","1.1020454168319702","0.5703976154327393","39","0.4000729322433472","1.1104872226715088","0.5547309517860413","0.38463425636291504","1.1099482774734497"
"prime-sweep-233","0.5474326610565186","0.37832650542259216","1.1107022762298584","finished","2025-07-05T23:37:02.000Z","1338","l6eaiduh","0.0002","16","0.17942500870078285","40","[256,256,1]","0.00010458506741703112","0.8569661675491586","","","","","","","","","","","","","","","","","","","segmentation","33","1.1049230098724363","0.5694007873535156","39","0.3992600440979004","1.1125096082687378","0.5540161728858948","0.38395360112190247","1.1107378005981443"
"honest-sweep-232","0.5525107383728027","0.3822474181652069","1.136021614074707","finished","2025-07-05T23:14:54.000Z","1321","l6eaiduh","0.0002","32","0.2121162258702061","40","[256,256,1]","0.00007231251112495262","1.1503274136216477","","","","","","","","","","","","","","","","","","","segmentation","39","1.136021614074707","0.5550820231437683","39","0.3845718801021576","1.139792561531067","0.5549290180206299","0.38445690274238586","1.133191466331482"
"earnest-sweep-231","0.5574806928634644","0.38693368434906006","1.105064868927002","finished","2025-07-05T22:52:53.000Z","1314","l6eaiduh","0.0002","32","0.1753914813384689","40","[256,256,1]","0.00003639520705750592","1.0867104903208975","","","","","","","","","","","","","","","","","","","segmentation","37","1.1006617546081543","0.5688715577125549","39","0.3979434072971344","1.1099605560302734","0.5588418841362","0.3882040083408356","1.1039667129516602"
"expert-sweep-230","0.5437297821044922","0.3735554814338684","1.1492067575454712","finished","2025-07-05T22:30:37.000Z","1331","l6eaiduh","0.0002","128","0.2436309225816034","40","[256,256,1]","0.00004121849841887208","0.983006029539685","","","","","","","","","","","","","","","","","","","segmentation","36","1.1488109827041626","0.5475446581840515","39","0.37708917260169983","1.1510649919509888","0.5464258790016174","0.3759320974349976","1.1457926034927368"
"spring-sweep-229","0.5665510892868042","0.39573585987091064","1.0970712900161743","finished","2025-07-05T22:08:35.000Z","1315","l6eaiduh","0.0002","32","0.216966706673565","40","[256,256,1]","0.00003887318788934297","0.935610857885432","","","","","","","","","","","","","","","","","","","segmentation","32","1.0969805717468262","0.571232795715332","39","0.40061214566230774","1.1070959568023682","0.567554771900177","0.3966890275478363","1.095672845840454"
"olive-sweep-228","0.5442137718200684","0.3740116357803345","1.149180889129639","finished","2025-07-05T21:46:07.000Z","1344","l6eaiduh","0.0002","128","0.17255072766804577","40","[256,256,1]","0.00007657372871314915","1.1947696643006829","","","","","","","","","","","","","","","","","","","segmentation","36","1.148759841918945","0.5489515662193298","39","0.3783750236034394","1.150210738182068","0.5469307899475098","0.3764097094535827","1.1456760168075562"
"peach-sweep-227","0.550736665725708","0.3802593946456909","1.1343635320663452","finished","2025-07-05T21:26:40.000Z","1164","l6eaiduh","0.0002","64","0.15295259871823627","40","[256,256,1]","0.00004434705899528235","1.196848529861673","","","","","","","","","","","","","","","","","","","segmentation","34","1.1338175535202026","0.5563086867332458","39","0.3856089115142822","1.138232707977295","0.5527141094207764","0.3821363747119904","1.1318436861038208"
"devout-sweep-226","0.5683907270431519","0.397286057472229","1.097922444343567","finished","2025-07-05T21:06:32.000Z","1203","l6eaiduh","0.0002","64","0.16917131619228448","40","[256,256,1]","0.00001550598996622044","0.9522830809446658","","","","","","","","","","","","","","","","","","","segmentation","39","1.097922444343567","0.572482705116272","39","0.4013020992279053","1.1023122072219849","0.5694425702095032","0.3983252048492432","1.0945132970809937"
"winter-sweep-225","0.5487499237060547","0.3783136010169983","1.148533582687378","finished","2025-07-05T20:46:24.000Z","1203","l6eaiduh","0.0002","128","0.23011660242659057","40","[256,256,1]","0.00009715655667827764","0.8332687744366957","","","","","","","","","","","","","","","","","","","segmentation","39","1.148533582687378","0.5497612357139587","39","0.379181832075119","1.1504137516021729","0.5514772534370422","0.3807302117347718","1.1446672677993774"
"magic-sweep-224","0.5403702855110168","0.3703916072845459","1.151475429534912","finished","2025-07-05T20:26:49.000Z","1170","l6eaiduh","0.0002","128","0.22156013653825535","40","[256,256,1]","0.0001357200760661331","0.8335760132022989","","","","","","","","","","","","","","","","","","","segmentation","35","1.149180293083191","0.5494130253791809","39","0.37890976667404175","1.1514580249786377","0.5431328415870667","0.3728219866752625","1.147887110710144"
"eager-sweep-223","0.5707653164863586","0.3995927572250366","1.098457098007202","finished","2025-07-05T20:07:29.000Z","1155","l6eaiduh","0.0002","64","0.17391419539348835","40","[256,256,1]","0.00002338951073245445","0.933347659940676","","","","","","","","","","","","","","","","","","","segmentation","39","1.098457098007202","0.569874107837677","39","0.3989252746105194","1.1075780391693115","0.5714961290359497","0.40034058690071106","1.0969926118850708"
"feasible-sweep-222","0.5516633987426758","0.38244596123695374","1.1086511611938477","finished","2025-07-05T19:45:23.000Z","1320","l6eaiduh","0.0002","16","0.16957347453057242","40","[256,256,1]","0.00013422677860994923","1.0518493726508449","","","","","","","","","","","","","","","","","","","segmentation","38","1.1056748628616333","0.5674268007278442","39","0.397119015455246","1.1146236658096311","0.5592260956764221","0.38901370763778687","1.1089521646499634"
"helpful-sweep-221","0.5502269268035889","0.3800610899925232","1.1354553699493408","finished","2025-07-05T19:18:53.000Z","1585","l6eaiduh","0.0002","32","0.23392635437179135","40","[256,256,1]","0.00005523820287315428","0.8895250775601026","","","","","","","","","","","","","","","","","","","segmentation","35","1.1339571475982666","0.5557094216346741","39","0.38522037863731384","1.139207363128662","0.5524650812149048","0.3820919692516327","1.1329554319381714"
"summer-sweep-220","0.5491777658462524","0.37906381487846375","1.1399563550949097","finished","2025-07-05T18:55:51.000Z","1374","l6eaiduh","0.0002","32","0.24907619335350736","40","[256,256,1]","0.00007716892659573565","0.94348337606968","","","","","","","","","","","","","","","","","","","segmentation","37","1.1392760276794434","0.5528794527053833","39","0.3827308416366577","1.142996311187744","0.5516340136528015","0.38129109144210815","1.1368443965911863"
"prime-sweep-219","0.5494797825813293","0.3793461620807648","1.1390644311904907","finished","2025-07-05T18:32:54.000Z","1370","l6eaiduh","0.0002","32","0.20812658156462607","40","[256,256,1]","0.0001167529390360171","1.0308045092915028","","","","","","","","","","","","","","","","","","","segmentation","39","1.1390644311904907","0.5537064075469971","39","0.38330793380737305","1.1426736116409302","0.551893949508667","0.38154494762420654","1.1364450454711914"
"earthy-sweep-218","0.5531588196754456","0.38257479667663574","1.1381866931915283","finished","2025-07-05T18:10:31.000Z","1338","l6eaiduh","0.0002","64","0.16736248413762914","40","[256,256,1]","0.00006709272849872574","0.9941105831127456","","","","","","","","","","","","","","","","","","","segmentation","39","1.1381866931915283","0.5550241470336914","39","0.3842760920524597","1.1420031785964966","0.5551260113716125","0.38445448875427246","1.1356199979782104"
"helpful-sweep-217","0.5498625040054321","0.3793726861476898","1.142540693283081","finished","2025-07-05T17:46:32.000Z","1436","l6eaiduh","0.0002","128","0.2079681518465378","40","[256,256,1]","0.000018584339585782424","1.0386834781953076","","","","","","","","","","","","","","","","","","","segmentation","36","1.1411153078079224","0.5487726926803589","39","0.3782723844051361","1.1487798690795898","0.5523655414581299","0.3815822899341583","1.1391149759292605"
"desert-sweep-216","0.5456718802452087","0.3754433989524842","1.139947772026062","finished","2025-07-05T17:21:57.000Z","1467","l6eaiduh","0.0002","64","0.22163711164457564","40","[256,256,1]","0.0000835759574760935","0.990508909571898","","","","","","","","","","","","","","","","","","","segmentation","35","1.139326810836792","0.5554639101028442","39","0.38480985164642334","1.1426814794540403","0.5474988222122192","0.37717190384864807","1.137991189956665"
"firm-sweep-215","0.5447492003440857","0.3745114207267761","1.1430108547210691","finished","2025-07-05T16:57:55.000Z","1437","l6eaiduh","0.0002","128","0.17849166594408128","40","[256,256,1]","0.00005560848466338442","0.8911689709833879","","","","","","","","","","","","","","","","","","","segmentation","39","1.1430108547210691","0.552963137626648","39","0.3823363482952118","1.1455132961273191","0.5470717549324036","0.3765459060668946","1.1404777765274048"
"smart-sweep-214","0.5733441114425659","0.4036511480808258","1.1055434942245483","finished","2025-07-05T16:36:23.000Z","1287","l6eaiduh","0.0002","16","0.1543472649041013","40","[256,256,1]","0.00012703626890618364","0.8990700630601689","","","","","","","","","","","","","","","","","","","segmentation","38","1.1036138534545898","0.5694727897644043","39","0.3995684087276459","1.1110183000564575","0.5810823440551758","0.41051411628723145","1.1003504991531372"
