architecture,lr_scheduler,calibration_method,dropout_rate,val/acc/count,val/acc/median,val/acc/mean,val/acc/std,val/acc/min,val/acc/max,val/auc/count,val/auc/median,val/auc/mean,val/auc/std,val/auc/min,val/auc/max,val/cls_confmat_00/count,val/cls_confmat_00/median,val/cls_confmat_00/mean,val/cls_confmat_00/std,val/cls_confmat_00/min,val/cls_confmat_00/max,val/cls_confmat_01/count,val/cls_confmat_01/median,val/cls_confmat_01/mean,val/cls_confmat_01/std,val/cls_confmat_01/min,val/cls_confmat_01/max,val/cls_confmat_10/count,val/cls_confmat_10/median,val/cls_confmat_10/mean,val/cls_confmat_10/std,val/cls_confmat_10/min,val/cls_confmat_10/max,val/cls_confmat_11/count,val/cls_confmat_11/median,val/cls_confmat_11/mean,val/cls_confmat_11/std,val/cls_confmat_11/min,val/cls_confmat_11/max,val/dice/count,val/dice/median,val/dice/mean,val/dice/std,val/dice/min,val/dice/max,val/iou/count,val/iou/median,val/iou/mean,val/iou/std,val/iou/min,val/iou/max,val/multi/count,val/multi/median,val/multi/mean,val/multi/std,val/multi/min,val/multi/max,val/loss/count,val/loss/median,val/loss/mean,val/loss/std,val/loss/min,val/loss/max
densenet,warmcos,rate_match,,3,0.74955595026643,0.7542924807578449,0.009782540936565252,0.747779751332149,0.765541740674956,3,0.834396812167934,0.8391542521790464,0.008890697637966776,0.833654547348682,0.849411397020523,3,261.0,259.0,13.114877048604,245,271,3,70.0,72.0,13.114877048604,60,86,3,72.0,66.33333333333333,9.81495457622364,55,72,3,160.0,165.66666666666666,9.814954576223636,160,177,0,,,,,,0,,,,,,0,,,,,,3,0.76116547981898,0.7714217945381447,0.05475729003853436,0.722517861260308,0.830582042535146
densenet,warmcos,youden,,3,0.763765541740675,0.7631734754292484,0.0027131886885469808,0.760213143872114,0.765541740674956,3,0.847809667673716,0.841250824738688,0.015185807167144743,0.823887904990103,0.852054901552245,3,264.0,263.0,6.557438524302,256,269,3,67.0,68.0,6.557438524302,62,75,3,68.0,65.33333333333333,7.3711147958319945,57,71,3,164.0,166.66666666666666,7.371114795831993,161,175,0,,,,,,0,,,,,,0,,,,,,3,0.770389750599861,0.814681884315279,0.09314754832446424,0.751944967442089,0.921710934903887
mtlunet,cosine,f1,0.180492153319842,1,0.667259786476868,0.667259786476868,,0.667259786476868,0.667259786476868,1,0.715292763631132,0.715292763631132,,0.715292763631132,0.715292763631132,1,173.0,173.0,,173,173,1,158.0,158.0,,158,158,1,46.0,46.0,,46,46,1,185.0,185.0,,185,185,1,0.493375016688629,0.493375016688629,,0.493375016688629,0.493375016688629,1,0.486923299226048,0.486923299226048,,0.486923299226048,0.486923299226048,1,0.571046228118505,0.571046228118505,,0.571046228118505,0.571046228118505,1,1.39959079027176,1.39959079027176,,1.39959079027176,1.39959079027176
mtlunet,cosine,f1,0.208675117939856,1,0.711743772241993,0.711743772241993,,0.711743772241993,0.711743772241993,1,0.74498110147657,0.74498110147657,,0.74498110147657,0.74498110147657,1,202.0,202.0,,202,202,1,129.0,129.0,,129,129,1,57.0,57.0,,57,57,1,174.0,174.0,,174,174,1,0.49380199862098,0.49380199862098,,0.49380199862098,0.49380199862098,1,0.486895356713189,0.486895356713189,,0.486895356713189,0.486895356713189,1,0.606832594905995,0.606832594905995,,0.606832594905995,0.606832594905995,1,1.32532705201043,1.32532705201043,,1.32532705201043,1.32532705201043
mtlunet,cosine,rate_match,0.200513338802287,1,0.679715302491103,0.679715302491103,,0.679715302491103,0.679715302491103,1,0.735237572095578,0.735237572095578,,0.735237572095578,0.735237572095578,1,244.0,244.0,,244,244,1,87.0,87.0,,87,87,1,93.0,93.0,,93,93,1,138.0,138.0,,138,138,1,0.487514012164142,0.487514012164142,,0.487514012164142,0.487514012164142,1,0.475622363564583,0.475622363564583,,0.475622363564583,0.475622363564583,1,0.574217258140145,0.574217258140145,,0.574217258140145,0.574217258140145,1,0.798242449760437,0.798242449760437,,0.798242449760437,0.798242449760437
mtlunet,cosine,rate_match,0.219869987367608,1,0.654804270462634,0.654804270462634,,0.654804270462634,0.654804270462634,1,0.711761551640706,0.711761551640706,,0.711761551640706,0.711761551640706,1,221.0,221.0,,221,221,1,110.0,110.0,,110,110,1,84.0,84.0,,84,84,1,147.0,147.0,,147,147,1,0.487545963020004,0.487545963020004,,0.487545963020004,0.487545963020004,1,0.475611429831066,0.475611429831066,,0.475611429831066,0.475611429831066,1,0.56602141903725,0.56602141903725,,0.56602141903725,0.56602141903725,1,1.45116179519229,1.45116179519229,,1.45116179519229,1.45116179519229
mtlunet,cosine,rate_match,0.228568017344921,1,0.649466192170819,0.649466192170819,,0.649466192170819,0.649466192170819,1,0.716417520042898,0.716417520042898,,0.716417520042898,0.716417520042898,1,210.0,210.0,,210,210,1,121.0,121.0,,121,121,1,76.0,76.0,,76,76,1,155.0,155.0,,155,155,1,0.493375016688629,0.493375016688629,,0.493375016688629,0.493375016688629,1,0.486923299226048,0.486923299226048,,0.486923299226048,0.486923299226048,1,0.571439892862623,0.571439892862623,,0.571439892862623,0.571439892862623,1,0.671421084139082,0.671421084139082,,0.671421084139082,0.671421084139082
mtlunet,cosine,youden,0.183311694326154,1,0.642348754448399,0.642348754448399,,0.642348754448399,0.642348754448399,1,0.716587541360955,0.716587541360955,,0.716587541360955,0.716587541360955,1,212.0,212.0,,212,212,1,119.0,119.0,,119,119,1,82.0,82.0,,82,82,1,149.0,149.0,,149,149,1,0.493410076347898,0.493410076347898,,0.493410076347898,0.493410076347898,1,0.486919606434716,0.486919606434716,,0.486919606434716,0.486919606434716,1,0.549204442601162,0.549204442601162,,0.549204442601162,0.549204442601162,1,1.44114905595779,1.44114905595779,,1.44114905595779,1.44114905595779
mtlunet,cosine,youden,0.191369570017882,1,0.697508896797153,0.697508896797153,,0.697508896797153,0.697508896797153,1,0.759498306326101,0.759498306326101,,0.759498306326101,0.759498306326101,1,218.0,218.0,,218,218,1,113.0,113.0,,113,113,1,57.0,57.0,,57,57,1,174.0,174.0,,174,174,1,0.48750508826671,0.48750508826671,,0.48750508826671,0.48750508826671,1,0.475617879346923,0.475617879346923,,0.475617879346923,0.475617879346923,1,0.582702714587497,0.582702714587497,,0.582702714587497,0.582702714587497,1,1.26897246307797,1.26897246307797,,1.26897246307797,1.26897246307797
mtlunet,cosine,youden,0.195464892284294,1,0.676156583629893,0.676156583629893,,0.676156583629893,0.676156583629893,1,0.748355370711866,0.748355370711866,,0.748355370711866,0.748355370711866,1,258.0,258.0,,258,258,1,73.0,73.0,,73,73,1,109.0,109.0,,109,109,1,122.0,122.0,,122,122,1,0.487649200528648,0.487649200528648,,0.487649200528648,0.487649200528648,1,0.475665202668894,0.475665202668894,,0.475665202668894,0.475665202668894,1,0.578896360092775,0.578896360092775,,0.578896360092775,0.578896360092775,1,0.731489721271727,0.731489721271727,,0.731489721271727,0.731489721271727
mtlunet,cosine,youden,0.195933280848553,1,0.633451957295374,0.633451957295374,,0.633451957295374,0.633451957295374,1,0.704280613646173,0.704280613646173,,0.704280613646173,0.704280613646173,1,193.0,193.0,,193,193,1,138.0,138.0,,138,138,1,68.0,68.0,,68,68,1,163.0,163.0,,163,163,1,0.488041787615427,0.488041787615427,,0.488041787615427,0.488041787615427,1,0.47565812725953,0.47565812725953,,0.47565812725953,0.47565812725953,1,0.563725376726188,0.563725376726188,,0.563725376726188,0.563725376726188,1,1.59369092517429,1.59369092517429,,1.59369092517429,1.59369092517429
mtlunet,cosine,youden,0.210766314415532,1,0.702846975088968,0.702846975088968,,0.702846975088968,0.702846975088968,1,0.775153346150325,0.775153346150325,,0.775153346150325,0.775153346150325,1,241.0,241.0,,241,241,1,90.0,90.0,,90,90,1,77.0,77.0,,77,77,1,154.0,154.0,,154,154,1,0.487529039536697,0.487529039536697,,0.487529039536697,0.487529039536697,1,0.475628311864584,0.475628311864584,,0.475628311864584,0.475628311864584,1,0.588197546851467,0.588197546851467,,0.588197546851467,0.588197546851467,1,1.35235301653544,1.35235301653544,,1.35235301653544,1.35235301653544
mtlunet,cosine,youden,0.215020447533805,1,0.685053380782918,0.685053380782918,,0.685053380782918,0.685053380782918,1,0.754973123553184,0.754973123553184,,0.754973123553184,0.754973123553184,1,214.0,214.0,,214,214,1,117.0,117.0,,117,117,1,60.0,60.0,,60,60,1,171.0,171.0,,171,171,1,0.488271562976071,0.488271562976071,,0.488271562976071,0.488271562976071,1,0.475771964463424,0.475771964463424,,0.475771964463424,0.475771964463424,1,0.58161710917806,0.58161710917806,,0.58161710917806,0.58161710917806,1,1.3114784889751,1.3114784889751,,1.3114784889751,1.3114784889751
mtlunet,none,f1,0.181484728403085,1,0.670818505338078,0.670818505338078,,0.670818505338078,0.670818505338078,1,0.714965799557945,0.714965799557945,,0.714965799557945,0.714965799557945,1,236.0,236.0,,236,236,1,95.0,95.0,,95,95,1,90.0,90.0,,90,90,1,141.0,141.0,,141,141,1,0.493375016688629,0.493375016688629,,0.493375016688629,0.493375016688629,1,0.486923299226048,0.486923299226048,,0.486923299226048,0.486923299226048,1,0.570931790692889,0.570931790692889,,0.570931790692889,0.570931790692889,1,0.676713900433646,0.676713900433646,,0.676713900433646,0.676713900433646
mtlunet,none,f1,0.183096003946008,1,0.660142348754448,0.660142348754448,,0.660142348754448,0.660142348754448,1,0.734191287061378,0.734191287061378,,0.734191287061378,0.734191287061378,1,258.0,258.0,,258,258,1,73.0,73.0,,73,73,1,118.0,118.0,,118,118,1,113.0,113.0,,113,113,1,0.487504025352159,0.487504025352159,,0.487504025352159,0.487504025352159,1,0.475617418934018,0.475617418934018,,0.475617418934018,0.475617418934018,1,0.549175840779464,0.549175840779464,,0.549175840779464,0.549175840779464,1,1.258259428872,1.258259428872,,1.258259428872,1.258259428872
