Name,architecture,lr_scheduler,calibration_method,dropout_rate,val/acc,val/auc,val/cls_confmat_00,val/cls_confmat_01,val/cls_confmat_10,val/cls_confmat_11,val/dice,val/iou,val/multi,val/loss,val/auc
daily-sweep-1,mtlunet,warmcos,rate_match,0.188713642847819,0.681494661921708,0.750866454793947,202,129,50,181,0.493375685240463,0.486923098413405,0.583497454584182,0.658444470829434,0.750866454793947
twilight-sweep-4,mtlunet,none,rate_match,0.183248636882543,0.674377224199288,0.749728619819254,221,110,73,158,0.487525571113899,0.475624837843919,0.579296638160773,0.712200184663137,0.749728619819254
usual-sweep-2,mtlunet,none,f1,0.192587329197012,0.688612099644128,0.749035455984097,264,67,108,123,0.493794915973184,0.487106310311243,0.583129104977003,1.30944797727797,0.749035455984097
dashing-sweep-2,mtlunet,warmcos,f1,0.181242186827418,0.683274021352313,0.748446920652359,221,110,68,163,0.493438624423843,0.486943624057625,0.582691528103823,0.800606320301692,0.748446920652359
drawn-sweep-2,mtlunet,cosine,youden,0.195464892284294,0.676156583629893,0.748355370711866,258,73,109,122,0.487649200528648,0.475665202668894,0.578896360092775,0.731489721271727,0.748355370711866
twilight-sweep-3,mtlunet,warmcos,rate_match,0.203959227849331,0.679715302491103,0.747322164240593,220,111,69,162,0.493212576726432,0.475886099861435,0.582150932356389,1.55864170524809,0.747322164240593
skilled-sweep-3,mtlunet,plateau,youden,0.2129663384378,0.688612099644128,0.746707471783001,148,183,26,205,0.48761502388862,0.475653126960121,0.552388135862215,1.38486195935143,0.746707471783001
cool-sweep-2,mtlunet,none,youden,0.211706250448341,0.674377224199288,0.746458979087378,253,78,105,126,0.487504018220926,0.475617405358583,0.578138254524184,0.704599781168832,0.746458979087378
grateful-sweep-1,mtlunet,none,f1,0.192735790495489,0.679715302491103,0.74602738651077,177,154,37,194,0.487682219772183,0.475667468494686,0.578103028130689,1.31932763589753,0.74602738651077
smooth-sweep-1,mtlunet,warmcos,youden,0.217957313246602,0.699288256227758,0.74560887249709,262,69,100,131,0.499422836575519,0.486766857460567,0.585587949148069,1.32799918121762,0.74560887249709
upbeat-sweep-1,mtlunet,cosine,f1,0.208675117939856,0.711743772241993,0.74498110147657,202,129,57,174,0.49380199862098,0.486895356713189,0.606832594905995,1.32532705201043,0.74498110147657
wandering-sweep-2,mtlunet,plateau,youden,0.221461257370322,0.677935943060498,0.744157152012137,219,112,69,162,0.491100510449167,0.476299570062293,0.579670334996206,1.53962896929847,0.744157152012137
dulcet-sweep-4,vit,plateau,f1,0.205478118645647,0.674955595026643,0.744100948015418,223,108,75,157,,,,0.670001877678765,0.744100948015418
pious-sweep-3,mtlunet,none,f1,0.195656879046587,0.699288256227758,0.740835197028551,272,59,110,121,0.493374877312925,0.486923027717346,0.579985989213394,0.733415524164836,0.740835197028551
snowy-sweep-4,mtlunet,plateau,rate_match,0.192735215308444,0.661921708185053,0.73895188396699,208,123,67,164,0.491645001098603,0.442268220013618,0.578202410102539,1.39409122202131,0.73895188396699
lilac-sweep-15,vit,cosine,f1,0.209275431952675,0.664298401420959,0.736977810188561,235,96,93,139,,,,0.640910218159358,0.736977810188561
mild-sweep-2,mtlunet,plateau,f1,0.204500334009436,0.683274021352313,0.736597742640039,250,81,97,134,0.487504075270791,0.475617513962064,0.574686858850028,1.24979408582052,0.736597742640039
giddy-sweep-7,vit,cosine,f1,0.202181853334573,0.664298401420959,0.736248567559121,234,97,92,140,,,,0.610294075475799,0.736248567559121
dainty-sweep-5,mtlunet,plateau,youden,0.189590891672771,0.669039145907473,0.736179228626359,227,104,82,149,0.487504075270791,0.475617513962064,0.549672863609683,1.37817414601644,0.736179228626359
rosy-sweep-23,vit,cosine,f1,0.216197756381666,0.651865008880995,0.735571413688926,297,34,162,70,,,,0.635577178663678,0.735571413688926
valiant-sweep-1,mtlunet,cosine,rate_match,0.200513338802287,0.679715302491103,0.735237572095578,244,87,93,138,0.487514012164142,0.475622363564583,0.574217258140145,0.798242449760437,0.735237572095578
young-sweep-3,mtlunet,none,f1,0.209075790807683,0.654804270462634,0.73485829377068,217,114,80,151,0.487510823455878,0.475620201067431,0.574082438066059,1.40359009636773,0.73485829377068
fancy-sweep-22,vit,cosine,f1,0.226647318268469,0.676731793960924,0.734347327846651,230,101,81,151,,,,0.632156643602583,0.734347327846651
zany-sweep-4,mtlunet,none,f1,0.183096003946008,0.660142348754448,0.734191287061378,258,73,118,113,0.487504025352159,0.475617418934018,0.549175840779464,1.258259428872,0.734191287061378
dauntless-sweep-2,mtlunet,none,youden,0.220794724997633,0.693950177935943,0.733066530649612,271,60,112,119,0.493375950095433,0.486923614300429,0.577267653289396,0.763324479262034,0.733066530649612
graceful-sweep-6,vit,warmcos,rate_match,0.183535462241631,0.626998223801066,0.732315866236066,155,176,31,201,,,,0.636706948280335,0.732315866236066
sparkling-sweep-1,mtlunet,none,youden,0.217495222237895,0.665480427046263,0.728593662128405,210,121,67,164,0.487504075270791,0.475617513962064,0.571885430670956,0.811281634701623,0.728593662128405
gentle-sweep-1,mtlunet,warmcos,rate_match,0.18903157986911,0.660142348754448,0.728279776618145,240,91,100,131,0.487504075270791,0.475617513962064,0.547698000607629,0.679551124572754,0.728279776618145
snowy-sweep-1,mtlunet,plateau,youden,0.233760266112507,0.667259786476868,0.72642262068244,196,135,52,179,0.487686141215614,0.475680983313757,0.571243909029003,1.45829190148248,0.72642262068244
likely-sweep-5,vit,cosine,rate_match,0.198421946221126,0.63943161634103,0.72605870403167,137,194,26,206,,,,0.623032636112637,0.72605870403167
hearty-sweep-19,vit,cosine,bal_acc,0.204610773582174,0.671403197158082,0.724697885196375,252,79,106,126,,,,0.634232627020942,0.724697885196375
peach-sweep-8,mtlunet,none,f1,0.196369085340172,0.640569395017794,0.723924615163286,190,141,61,170,0.493731357757486,0.486970015129384,0.574298997849516,0.882556762960222,0.723924615163286
fanciful-sweep-3,mtlunet,plateau,f1,0.207599451879057,0.663701067615658,0.721988987850015,220,111,78,153,0.489345899925428,0.475778658102455,0.547506671906575,1.39307814174228,0.721988987850015
drawn-sweep-5,vit,cosine,youden,0.211369047800769,0.678507992895204,0.72076518387332,232,99,82,150,,,,0.641539772351583,0.72076518387332
whole-sweep-8,vit,plateau,f1,0.182691655639445,0.664298401420959,0.719502031461611,190,141,52,180,,,,0.624328043725756,0.719502031461611
jolly-sweep-1,mtlunet,warmcos,youden,0.225649074662097,0.660142348754448,0.717908476216633,219,112,79,152,0.493398619517287,0.486918260545417,0.571977069362058,0.700742536120945,0.717908476216633
likely-sweep-8,mtlunet,cosine,youden,0.183311694326154,0.642348754448399,0.716587541360955,212,119,82,149,0.493410076347898,0.486919606434716,0.549204442601162,1.44114905595779,0.716587541360955
fresh-sweep-1,mtlunet,cosine,rate_match,0.228568017344921,0.649466192170819,0.716417520042898,210,121,76,155,0.493375016688629,0.486923299226048,0.571439892862623,0.671421084139082,0.716417520042898
colorful-sweep-1,mtlunet,cosine,f1,0.180492153319842,0.667259786476868,0.715292763631132,173,158,46,185,0.493375016688629,0.486923299226048,0.571046228118505,1.39959079027176,0.715292763631132
confused-sweep-5,mtlunet,none,f1,0.181484728403085,0.670818505338078,0.714965799557945,236,95,90,141,0.493375016688629,0.486923299226048,0.570931790692889,0.676713900433646,0.714965799557945
glamorous-sweep-1,vit,warmcos,bal_acc,0.198000581832995,0.630550621669627,0.713733201375143,193,138,70,162,,,,0.629641698466407,0.713733201375143
glamorous-sweep-2,mtlunet,plateau,youden,0.198403887617466,0.651245551601424,0.713004015118819,127,204,25,206,0.487504075270791,0.475617513962064,0.566429054217601,0.796525355842378,0.713004015118819
light-sweep-2,vit,warmcos,bal_acc,0.232884956731443,0.653641207815275,0.71279560370872,213,118,77,155,,,,0.623017099168566,0.71279560370872
flowing-sweep-6,mtlunet,cosine,rate_match,0.219869987367608,0.654804270462634,0.711761551640706,221,110,84,147,0.487545963020004,0.475611429831066,0.56602141903725,1.45116179519229,0.711761551640706
giddy-sweep-3,mtlunet,plateau,f1,0.223739311388565,0.665480427046263,0.711539216070938,241,90,98,133,0.493375016688629,0.486923299226048,0.569732486472437,0.684476213322745,0.711539216070938
cosmic-sweep-2,mtlunet,warmcos,f1,0.188356965089063,0.631672597864769,0.710623716666013,218,113,94,137,0.487504075270791,0.475617513962064,0.543283985619596,0.787964800993601,0.710623716666013
visionary-sweep-18,vit,warmcos,f1,0.182447383632924,0.634103019538188,0.710503698301906,200,131,75,157,,,,0.630709403091007,0.710503698301906
resilient-sweep-2,vit,none,f1,0.204023975698501,0.598579040852576,0.710321387644546,144,187,39,193,,,,0.680797013971541,0.710321387644546
