val/dice,calibration_method,dropout_rate,lr,val/cls_confmat_00,lr_scheduler,architecture,val/multi,Name,val/loss,val/acc,val/cls_confmat_11,train/lr,val/cls_confmat_01,val/iou,val/auc,opt/lr,val/cls_confmat_10,effective_lr
,f1,0.185914618318916,0.0006103280858808,214,warmcos,vit,,swept-sweep-3,0.66094931628969,0.579040852575488,112,9.40718901034789e-07,117,,0.618514949473903,0.0,120,0.0006103280858808
,bal_acc,0.232884956731443,3.10025055955e-05,213,warmcos,vit,,light-sweep-2,0.623017099168566,0.653641207815275,155,4.77851890939044e-08,118,,0.71279560370872,0.0,77,3.10025055955e-05
,bal_acc,0.198000581832995,4.79949053131e-05,193,warmcos,vit,,glamorous-sweep-1,0.629641698466407,0.630550621669627,162,7.39761377952301e-08,138,,0.713733201375143,0.0,70,4.79949053131e-05
,f1,0.232816038502483,0.0002763742073983,288,cosine,vit,,floral-sweep-6,0.676277736822764,0.570159857904085,33,4.25984723090206e-07,43,,0.590920929263465,0.0,199,0.0002763742073983
,bal_acc,0.222165514344511,0.0001491151529508,188,plateau,vit,,sage-sweep-5,0.633717344866859,0.621669626998224,162,7.45575764754e-05,143,,0.667491405354724,7.45575764754e-05,70,0.0001491151529508
,f1,0.22428104986082,0.0002411867506971,243,warmcos,vit,,rare-sweep-4,0.677522626188066,0.568383658969805,77,4.34439016388728e-07,88,,0.603669653088863,0.0,155,0.0002411867506971
,bal_acc,0.237344389885771,5.92164862478e-05,126,cosine,vit,,pious-sweep-3,0.66604161924786,0.55595026642984,187,9.12723322994769e-08,205,,0.676932492968017,0.0,45,5.92164862478e-05
,f1,0.186397682682708,0.0002924768377296,277,warmcos,vit,,zany-sweep-2,0.688962161540985,0.58259325044405,51,4.50804240755268e-07,54,,0.581551463694135,0.0,181,0.0002924768377296
,f1,0.182218071029398,0.0001167940236327,191,warmcos,vit,,wild-sweep-1,0.625533560911814,0.634103019538188,166,1.9945540224834e-07,140,,0.705294822377331,0.0,66,0.0001167940236327
,bal_acc,0.190779944956678,4.23320420821e-05,273,plateau,vit,,valiant-sweep-5,0.65273521343867,0.616341030195382,74,4.23320420821e-05,58,,0.647489321804355,4.23320420821e-05,158,4.23320420821e-05
,bal_acc,0.225483564489478,0.0001341531995923,102,cosine,vit,,lunar-sweep-2,0.900382495588727,0.465364120781528,160,2.06774771488181e-07,229,,0.523980362537764,0.0,72,0.0001341531995923
,bal_acc,0.212306840900064,3.05327256723e-05,244,plateau,vit,,sleek-sweep-1,0.63484130303065,0.644760213143872,119,1.52663628361e-05,87,,0.677609646838212,1.52663628361e-05,113,3.05327256723e-05
,bal_acc,0.181766404077378,4.08424386468e-05,221,plateau,vit,,true-sweep-2,0.618767112493515,0.644760213143872,142,4.08424386468e-05,110,,0.704448380039588,4.08424386468e-05,90,4.08424386468e-05
