"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","filters","kernel_size","learning_rate","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.filterss","parameters.kernel_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","program","rotation","run_cap","translation","zoom","epoch/accuracy","epoch/auc","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/precision","epoch/recall","epoch/val_accuracy","epoch/val_auc","epoch/val_loss","epoch/val_precision","epoch/val_recall"
"usual-sweep-3","finished","-","","","2025-06-12T03:25:46.000Z","4889","cqk4krib","32","0.4673121752270679","20","32","3","0.000053280411220720166","","","","","","","","","","","","","","","","","","","","","","","","0.04695777398336631","","0.009340781891981065","0.1731259550381409","0.6230000257492065","0.6520941853523254","19","0.00005328041152097285","0.6463834047317505","0.5816485285758972","0.3025889992713928","0.5938748121261597","0.6328837275505066","0.6584976315498352","0.5114942789077759","0.2880258858203888"
"astral-sweep-3","finished","-","","","2025-06-12T02:34:22.000Z","3076","cqk4krib","16","0.3014889729972813","20","16","3","0.0002202637441922848","","","","","","","","","","","","","","","","","","","","","","","","0.1281781627569428","","0.02506238995302066","0.1081760753618436","0.6140000224113464","0.637830376625061","7","0.00022026374062988907","0.6529207229614258","0.5663265585899353","0.2694174647331238","0.5632489919662476","0.5627700090408325","0.6834432482719421","0.458149790763855","0.33656957745552063"
"morning-sweep-2","finished","-","","","2025-06-12T02:03:23.000Z","1849","cqk4krib","16","0.13252516119332347","20","16","3","0.00010122299968678865","","","","","","","","","","","","","","","","","","","","","","","","0.1921773185183622","","0.05578571461182311","0.11606697779390451","0.5976666808128357","0.593071460723877","7","0.00010122299863724038","0.6648845672607422","0.5363408327102661","0.17313915491104126","0.5685752034187317","0.5245134830474854","0.6854180693626404","0.44525548815727234","0.1974110007286072"
"fallen-sweep-60","finished","-","","","2025-06-05T01:31:30.000Z","3426","","8","0.06221617136917079","20","16","3","0.00020708568742488863","","","","","","","","","","","","","","","","","","","","","","","","0.1099326090407832","","0.05540284716342614","0.008840457580933525","0.6306666731834412","0.6627415418624878","14","0.00020708568627014756","0.6376203298568726","0.5812183022499084","0.3705501556396485","0.576564610004425","0.6026483178138733","0.6790362000465393","0.4864864945411682","0.5242718458175659"
"leafy-sweep-59","finished","-","","","2025-06-05T00:20:51.000Z","4234","","8","0.06660067094406441","20","16","3","0.0008536565705941247","","","","","","","","","","","","","","","","","","","","","","","","0.018348672737926553","","0.18948833757959616","0.0524112097308362","0.609000027179718","0.5918974876403809","18","0.0008536565583199263","0.6667483448982239","0.5741176605224609","0.1974110007286072","0.5392809510231018","0.5517396926879883","0.7147800326347351","0.44510385394096375","0.485436886548996"
"happy-sweep-58","finished","-","","","2025-06-04T23:43:23.000Z","2243","","32","0.46901066400153857","20","16","3","0.00025035367327544064","","","","","","","","","","","","","","","","","","","","","","","","0.03912603061886302","","0.13947757563286892","0.004498775340575434","0.6156666874885559","0.6301270127296448","9","0.00025035368162207305","0.6540759801864624","0.5655608177185059","0.2896440029144287","0.5632489919662476","0.6088975071907043","0.6726270318031311","0.4040403962135315","0.12944984436035156"
"apricot-sweep-57","finished","-","","","2025-06-04T22:29:26.000Z","4430","","32","0.13133555893916393","20","16","5","0.0003041731011922834","","","","","","","","","","","","","","","","","","","","","","","","0.030322467738759643","","0.09868029450016942","0.017702686799001246","0.6259999871253967","0.6585335731506348","19","0.0003041730960831046","0.644493818283081","0.5805084705352783","0.33252426981925964","0.6125166416168213","0.677092969417572","0.6376016736030579","0.5692307949066162","0.23948219418525696"
"swift-sweep-56","finished","-","","","2025-06-04T21:55:08.000Z","2054","","8","0.372656953557252","20","32","3","0.0004132345941467173","","","","","","","","","","","","","","","","","","","","","","","","0.09460851126039611","","0.0910877668875217","0.1730327486062097","0.6143333315849304","0.6160475611686707","8","0.00041323460754938424","0.6590473055839539","0.575815737247467","0.242718443274498","0.5672436952590942","0.5652264356613159","0.6816821694374084","0.4333333373069763","0.16828478872776031"
"vital-sweep-55","finished","-","","","2025-06-04T21:25:02.000Z","1799","","32","0.08468594798165224","20","32","3","0.0007058272719050976","","","","","","","","","","","","","","","","","","","","","","","","0.11422710810052068","","0.1853735072288116","0.02207310841102224","0.5973333120346069","0.6003110408782959","7","0.000705827260389924","0.6638674139976501","0.5339806079864502","0.1779935210943222","0.5352863073348999","0.5347567200660706","0.7073912620544434","0.43670886754989624","0.446601927280426"
"iconic-sweep-54","finished","-","","","2025-06-04T20:10:42.000Z","4455","","32","0.1436299504092729","20","32","5","0.00027078846455271135","","","","","","","","","","","","","","","","","","","","","","","","0.026235994492977956","","0.19573667950375967","0.06270238664192092","0.6000000238418579","0.6169843673706055","19","0.0002707884705159813","0.658045768737793","0.53515625","0.2216828465461731","0.6098535060882568","0.6627056002616882","0.6497296690940857","0.5363636612892151","0.38187703490257263"
"avid-sweep-53","finished","-","","","2025-06-04T19:33:19.000Z","2238","","32","0.4239235932002862","20","16","3","0.000431929974942853","","","","","","","","","","","","","","","","","","","","","","","","0.09464723005327565","","0.060845000159986264","0.08537970239355036","0.6083333492279053","0.6285915970802307","9","0.00043192997691221535","0.6561619639396667","0.5505804419517517","0.268608421087265","0.6058588624000549","0.5999465584754944","0.6793487668037415","0.5236363410949707","0.4660194218158722"
