,epochs,dropout,filters,batch_size,kernel_size,learning_rate,run_id,run_name,zoom,rotation,translation,optimizer,architecture
26,20,0.02626114948617142,32.0,8,3.0,0.0004594154985394972,ttb7gj0c,ruby-sweep-25,0.18039825482188732,0.15485098487732807,0.05868203091067828,,
27,20,0.2827697293873148,16.0,32,3.0,0.0008265612501684843,cbaz8ij0,light-sweep-26,0.05801213290402133,0.0800325107590894,0.185715961732432,,
28,20,0.14987915506305044,32.0,32,3.0,0.00037196884520258454,qblwr2v6,dulcet-sweep-27,0.08945111875330564,0.06333350248341776,0.060126284153806234,,
29,20,0.3343829487475727,64.0,16,5.0,0.0003667293173963302,m4ffggz9,glorious-sweep-28,0.1029029733036865,0.08335652319540612,0.006982812494953739,,
30,20,0.43342408780950115,16.0,32,3.0,0.0001975755315955807,w2v092a5,dulcet-sweep-29,0.1673341929255577,0.15606204917440053,0.19965776535868837,,
31,20,0.00598636611712805,16.0,16,3.0,0.0005403213412011228,hb0gblnf,crisp-sweep-30,0.04398667699673673,0.06285984683194211,0.054995466877721944,,
32,20,0.22185300061859348,64.0,16,5.0,0.0004854962750872745,w73h08kj,autumn-sweep-31,0.1685892830744515,0.16676208193948225,0.08807579890200537,,
33,20,0.2060633764975976,16.0,8,5.0,0.0003475658070133685,vga4wlp3,chocolate-sweep-32,0.041608955130057,0.05207728959706288,0.0913330971851138,,
34,20,0.33596553770196547,16.0,32,3.0,5.60689184988454e-05,9wx1feml,glad-sweep-33,0.18794064201106053,0.10364309188385046,0.00042828603576163806,,
35,20,0.30416913138411383,32.0,16,5.0,0.0007349204874580381,efuepp90,whole-sweep-34,0.17064537013768774,0.06932445180717876,0.02107520965468619,,
36,20,0.08911318424004494,16.0,32,3.0,0.00021315192111085292,wyvo4z9v,legendary-sweep-35,0.11146003401953151,0.1681168570714182,0.06335537453968994,,
37,20,0.12111644586609348,32.0,16,5.0,0.0003694877227278846,0ch66r0s,morning-sweep-36,0.04636741323718637,0.10165434384537228,0.02405475549199343,,
38,20,0.14938078581501446,16.0,32,3.0,0.0006750792390294101,1y1ulcfq,happy-sweep-37,0.17672316366912844,0.14058722813639843,0.09551824923767588,,
39,20,0.1608275430527884,32.0,8,3.0,0.0006737442932909132,xxbzlbor,true-sweep-38,0.09011767041979751,0.012187533419421692,0.044274784860088845,,
40,20,0.3722025261115747,16.0,32,3.0,0.000838120812232097,bu6s1iqo,fearless-sweep-39,0.1388709112761137,0.035959866805665965,0.07803689576962476,,
41,20,0.14792073242052128,64.0,16,3.0,0.0005826553290747686,mjjzndac,woven-sweep-40,0.06473889256422012,0.028219831946502197,0.1924116717843492,,
